Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Auston Matthews,Jersey City Wok,TOR,C,47,33,12,0,5,13,0,290,60,40,0,0,0,0,282,132,24,0,5,26,0,261.0,60,40,0,0,0,0,830.0
Mikko Rantanen,Jersey City Wok,COL,RW,19,22,8,0,5,6,0,107,23,28,0,0,0,0,114,88,16,0,5,12,0,96.3,23,28,0,0,0,0,382.3
John Carlson,Jersey City Wok,WSH,D,15,60,2,0,6,24,0,189,108,55,0,0,0,0,90,240,4,0,6,48,0,170.1,108,55,0,0,0,0,721.1
Samuel Girard,Jersey City Wok,COL,D,4,30,1,0,1,12,0,96,92,46,0,0,0,0,24,120,2,0,1,24,0,86.4,92,46,0,0,0,0,395.4
Andrei Vasilevskiy,Jersey City Wok,TBL,G,0,0,0,0,0,0,0,0,0,0,35,133,1472,3,0,0,0,0,0,0,0,0,0,0,175,-399,883.1999999999999,18,677.1999999999999
William Karlsson,Jersey City Wok,VEG,C,15,31,2,2,1,6,3,138,38,40,0,0,0,0,90,124,4,6,1,12,6,124.2,38,40,0,0,0,0,445.2
Brayden Schenn,Jersey City Wok,STL,C,25,33,10,0,4,11,0,138,21,119,0,0,0,0,150,132,20,0,4,22,0,124.2,21,119,0,0,0,0,592.2
Alex Killorn,Jersey City Wok,TBL,C,26,23,8,0,7,5,0,130,15,59,0,0,0,0,156,92,16,0,7,10,0,117.0,15,59,0,0,0,0,472.0
David Perron,Tkachuk E. Cheese's,STL,LW,25,35,9,0,9,18,0,166,19,67,0,0,0,0,150,140,18,0,9,36,0,149.4,19,67,0,0,0,0,588.4
Ryan Nugent-Hopkins,Tkachuk E. Cheese's,EDM,C,22,39,7,0,4,17,0,172,44,33,0,0,0,0,132,156,14,0,4,34,0,154.8,44,33,0,0,0,0,571.8
Patrick Kane,Tkachuk E. Cheese's,CHI,RW,33,51,8,0,2,15,0,275,19,24,0,0,0,0,198,204,16,0,2,30,0,247.5,19,24,0,0,0,0,740.5
Jaccob Slavin,Tkachuk E. Cheese's,CAR,D,6,30,0,0,3,3,1,145,107,43,0,0,0,0,36,120,0,0,3,6,2,130.5,107,43,0,0,0,0,447.5
John Marino,Tkachuk E. Cheese's,PIT,D,6,20,1,0,0,3,0,61,77,72,0,0,0,0,36,80,2,0,0,6,0,54.9,77,72,0,0,0,0,327.9
Tuukka Rask,Tkachuk E. Cheese's,BOS,G,0,0,0,0,0,0,0,0,0,0,26,85,1104,5,0,0,0,0,0,0,0,0,0,0,130,-255,662.4,30,567.4
Mike Hoffman,Tkachuk E. Cheese's,FLA,C,29,30,11,0,3,10,0,214,22,33,0,0,0,0,174,120,22,0,3,20,0,192.6,22,33,0,0,0,0,586.6
Matthew Tkachuk,Tkachuk E. Cheese's,CGY,LW,23,38,5,0,4,14,0,188,22,122,0,0,0,0,138,152,10,0,4,28,0,169.20000000000002,22,122,0,0,0,0,645.2
Ben Chiarot,Tkachuk E. Cheese's,MTL,D,9,12,0,0,3,0,0,130,128,152,0,0,0,0,54,48,0,0,3,0,0,117.0,128,152,0,0,0,0,502.0
Patrik Laine,Mad World Partners,WPG,RW,28,35,8,0,1,8,0,226,35,97,0,0,0,0,168,140,16,0,1,16,0,203.4,35,97,0,0,0,0,676.4
Connor McDavid,Mad World Partners,EDM,C,34,63,11,0,6,32,0,212,18,37,0,0,0,0,204,252,22,0,6,64,0,190.8,18,37,0,0,0,0,793.8
T.J. Oshie,Mad World Partners,WSH,C,26,23,10,0,4,2,0,133,58,90,0,0,0,0,156,92,20,0,4,4,0,119.7,58,90,0,0,0,0,543.7
Jared Spurgeon,Mad World Partners,MIN,D,12,20,3,0,2,10,0,112,102,61,0,0,0,0,72,80,6,0,2,20,0,100.8,102,61,0,0,0,0,443.8
Connor Murphy,Mad World Partners,CHI,D,5,14,0,0,0,0,1,117,138,128,0,0,0,0,30,56,0,0,0,0,2,105.3,138,128,0,0,0,0,459.3
Frederik Andersen,Mad World Partners,TOR,G,0,0,0,0,0,0,0,0,0,0,29,143,1434,3,0,0,0,0,0,0,0,0,0,0,145,-429,860.4,18,594.4
Anton Khudobin,Mad World Partners,DAL,G,0,0,0,0,0,0,0,0,0,0,16,62,820,0,0,0,0,0,0,0,0,0,0,0,80,-186,492.0,0,386.0
Nikolaj Ehlers,Mad World Partners,WPG,LW,25,33,3,1,5,2,0,203,28,36,0,0,0,0,150,132,6,3,5,4,0,182.70000000000002,28,36,0,0,0,0,546.7
Filip Forsberg,Mad World Partners,NSH,C,21,27,7,0,2,7,0,198,27,82,0,0,0,0,126,108,14,0,2,14,0,178.20000000000002,27,82,0,0,0,0,551.2
Claude Giroux,Hurtzville Hosers,PHI,C,21,32,7,1,6,13,1,197,16,45,0,0,0,0,126,128,14,3,6,26,2,177.3,16,45,0,0,0,0,543.3
Sidney Crosby,Hurtzville Hosers,PIT,C,16,31,4,0,4,13,0,109,17,28,0,0,0,0,96,124,8,0,4,26,0,98.10000000000001,17,28,0,0,0,0,401.1
