Dennis Cholowski\cholode01,DET,D,2,6,1,0,1,4,0,51,35,15
Jakob Chychrun\chychja01,ARI,D,12,14,5,0,2,3,0,149,95,75
Filip Chytil\chytifi01,NYR,C,14,9,1,0,2,2,0,114,31,13
Anthony Cirelli\cirelan01,TBL,C,16,28,1,1,3,4,1,113,47,89
Casey Cizikas\cizikca01,NYI,C,10,4,0,3,1,0,2,67,39,133
Fredrik Claesson\claesfr01,NJD,D,1,1,0,0,0,0,0,1,7,5
Kale Clague\claguka01,LAK,D,0,0,0,0,0,0,0,2,4,1
Kyle Clifford\cliffky01,TOT,LW,7,10,0,0,0,0,0,110,15,133
Kyle Clifford\cliffky01,LAK,LW,6,8,0,0,0,0,0,89,12,90
Kyle Clifford\cliffky01,TOR,LW,1,2,0,0,0,0,0,21,3,43
Connor Clifton\cliftco01,BOS,D,2,0,0,0,0,0,0,20,33,90
Cal Clutterbuck\cluttca01,NYI,RW,3,4,0,1,0,0,1,35,38,127
Braydon Coburn\coburbr01,TBL,D,1,3,0,0,0,0,0,44,28,59
Andrew Cogliano\coglian01,DAL,LW,3,11,0,0,0,0,0,68,31,86
Ian Cole\coleia01,COL,D,4,22,0,0,1,0,0,92,122,83
Blake Coleman\colembl01,TOT,C,21,11,1,3,2,2,1,200,46,191
Blake Coleman\colembl01,NJD,C,21,10,1,3,2,2,1,182,40,166
Blake Coleman\colembl01,TBL,C,0,1,0,0,0,0,0,18,6,25
Blake Comeau\comeabl01,DAL,RW,8,8,0,1,2,0,1,74,24,107
J.T. Compher\comphj.01,COL,LW,11,20,1,0,3,4,3,106,60,36
Max Comtois\comtoma01,ANA,LW,5,6,2,0,0,1,0,32,8,61
Cory Conacher\conacco01,TBL,LW,0,1,0,0,0,0,0,5,1,3
Kevin Connauton\connake01,COL,D,0,0,0,0,0,0,0,4,6,6
Brett Connolly\connobr01,FLA,RW,19,14,4,0,3,2,0,117,17,56
Kyle Connor\connoky01,WPG,LW,38,35,9,1,7,8,1,239,17,18
Andrew Copp\coppan01,WPG,C,10,16,1,0,5,0,3,121,27,59
Nick Cousins\cousini01,TOT,C,10,15,3,0,0,2,0,115,31,91
Nick Cousins\cousini01,MTL,C,9,13,2,0,0,2,0,105,28,77
Nick Cousins\cousini01,VEG,C,1,2,1,0,0,0,0,10,3,14
Logan Couture\coutulo01,SJS,C,16,23,0,0,3,9,2,126,45,54
Sean Couturier\coutuse01,PHI,C,22,37,4,0,4,9,0,185,26,60
Charlie Coyle\coylech01,BOS,C,16,21,1,2,3,4,0,145,34,83
Sidney Crosby\crosbsi01,PIT,C,16,31,4,0,4,13,0,109,17,28
Lawson Crouse\crousla01,ARI,LW,15,10,0,1,3,0,0,109,29,201
Austin Czarnik\czarnau01,CGY,C,2,1,1,0,0,0,0,9,2,1
Kirby Dach\dachki01,CHI,C,8,15,0,0,2,3,0,101,23,33
Evgenii Dadonov\dadonev01,FLA,RW,25,22,11,0,2,6,0,167,24,29
Rasmus Dahlin\dahlira01,BUF,D,4,36,2,0,1,17,0,90,51,72
Carl Dahlstrom\dahlsca01,WPG,D,0,1,0,0,0,0,0,9,13,5
Michael Dal Colle\dalcomi01,NYI,LW,4,6,0,0,0,0,0,59,21,81
Trevor Daley\daleytr01,DET,D,0,7,0,0,0,2,0,37,44,9
Phillip Danault\danauph01,MTL,LW,13,34,1,0,1,3,0,131,37,119
Marko Daöo\danoma01,CBJ,C,0,0,0,0,0,0,0,2,3,5
Brandon Davidson\davidbr01,TOT,D,0,0,0,0,0,0,0,17,20,24
