Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Tanner Pearson,Good Canadian Boys,VAN,LW,21,24,3,2,3,7,1,164,40,96,0,0,0,0,126,96,6,6,3,14,2,147.6,40,96,0,0,0,0,536.6
Blake Coleman,Good Canadian Boys,TOT,C,21,11,1,3,2,2,1,200,46,191,0,0,0,0,126,44,2,9,2,4,2,180.0,46,191,0,0,0,0,606.0
Mikael Backlund,Good Canadian Boys,CGY,C,16,29,3,3,3,7,0,157,11,44,0,0,0,0,96,116,6,9,3,14,0,141.3,11,44,0,0,0,0,440.3
Keith Yandle,Good Canadian Boys,FLA,D,5,40,2,0,0,19,0,129,51,18,0,0,0,0,30,160,4,0,0,38,0,116.10000000000001,51,18,0,0,0,0,417.1
Zach Werenski,Good Canadian Boys,CBJ,D,20,21,5,1,4,8,0,187,58,36,0,0,0,0,120,84,10,3,4,16,0,168.3,58,36,0,0,0,0,499.3
Damon Severson,Good Canadian Boys,NJD,D,8,23,3,0,2,7,0,114,97,81,0,0,0,0,48,92,6,0,2,14,0,102.60000000000001,97,81,0,0,0,0,442.6
Mike Reilly,Good Canadian Boys,TOT,D,1,15,1,0,1,8,1,85,46,39,0,0,0,0,6,60,2,0,1,16,2,76.5,46,39,0,0,0,0,248.5
Tom Wilson,Good Canadian Boys,WSH,RW,21,23,5,1,5,2,1,154,58,253,0,0,0,0,126,92,10,3,5,4,2,138.6,58,253,0,0,0,0,691.6
Leon Draisaitl,Good Canadian Boys,EDM,C,43,67,16,0,10,28,0,218,19,27,0,0,0,0,258,268,32,0,10,56,0,196.20000000000002,19,27,0,0,0,0,866.2
Aleksander Barkov,Good Canadian Boys,FLA,C,20,42,7,0,2,13,1,172,35,21,0,0,0,0,120,168,14,0,2,26,2,154.8,35,21,0,0,0,0,542.8
Kailer Yamamoto,Good Canadian Boys,EDM,RW,11,15,2,0,0,0,0,44,13,45,0,0,0,0,66,60,4,0,0,0,0,39.6,13,45,0,0,0,0,227.6
Nikita Gusev,Good Canadian Boys,NJD,LW,13,31,5,0,2,10,0,158,7,12,0,0,0,0,78,124,10,0,2,20,0,142.20000000000002,7,12,0,0,0,0,395.20000000000005
Cale Makar,Good Canadian Boys,COL,D,12,38,4,0,4,15,0,121,47,45,0,0,0,0,72,152,8,0,4,30,0,108.9,47,45,0,0,0,0,466.9
Andreas Athanasiou,Good Canadian Boys,TOT,C,11,15,3,0,2,4,0,129,24,36,0,0,0,0,66,60,6,0,2,8,0,116.10000000000001,24,36,0,0,0,0,318.1
Carey Price,Good Canadian Boys,MTL,G,0,0,0,0,0,0,0,0,0,0,27,160,1595,4,0,0,0,0,0,0,0,0,0,0,135,-480,957.0,24,636.0
